,Review,Nouns
83,its got a free on site gym and cinema room which always appeared to be well kept as well as a table tennis and pool table which isnt level in the social areas,"['site', 'gym', 'cinema', 'room', 'table', 'tennis', 'pool', 'table', 'level', 'areas']"
84,there is also an on site laundry room but it will cost about a 5er to do a load of washing and drying which you have to pay for using an app,"['site', 'room', 'load', 'app']"
85,the rooms do come with a kitchen small fridge ceramic hob small sink and a small microwave combi oven but they arent particularly useable and my sink was in a state of being perpetually clogged,"['rooms', 'kitchen', 'fridge', 'hob', 'sink', 'microwave', 'combi', 'sink', 'state']"
86,the issues really start to become apparent if or when something brakes or you need something from maintenance as it takes a while for any action to be taken,"['issues', 'something', 'brakes', 'something', 'maintenance', 'while', 'action']"
87,also worth noting that while i was there one of the lifts occasionally worked but was temperamental at best,"['i', 'lifts']"
88,mercia lodge located in a very good place,"['mercia', 'lodge', 'place']"
89,the surrounding public security is good shopping is convenient,"['security', 'shopping']"
90,the staff group is friendly and efficient,"['staff', 'group']"
91,the room configuration is also good costeffective,"['room', 'configuration', 'costeffective']"
92,amazing experience kept clean and very safe,['experience']
93,good social life and great location,"['life', 'location']"
94,location is excellent loads of essential stores nearby room is very spacious so is the gym and worth the price,"['location', 'loads', 'stores', 'room', 'gym', 'price']"
95,staff is very friendly and welcoming,['staff']
96,mercia lodge is a really good place to stay at while doing your degree,"['mercia', 'lodge', 'place', 'degree']"
97,the accommodation held a lot of social events which allows you to meet new people,"['accommodation', 'lot', 'events', 'people']"
98,the people living in this building are also very friendly if you try to get to know them,"['people', 'building']"
99,the location is perfect as it is located in the city centre,"['location', 'city', 'centre']"
100,the facilities are also great,['facilities']
101,you can gather with your friends and watch in the cinema room or socialise in the social place,"['friends', 'watch', 'cinema', 'room', 'socialise', 'place']"
102,the staff of mercia is also friendly and very helpful and the building is always clean,"['staff', 'mercia', 'building']"
103,everytime it gets a bit dirty the staff will clean it right away,"['everytime', 'bit', 'staff']"
104,the price is also very reasonable and worth it,['price']
105,definitely recommended for people to stay at,['people']
106,really recommand city point！it has a perfect location and you can get whatever you want from the coventry city centre,"['city', 'point！it', 'location', 'coventry', 'city', 'centre']"
107,the environment of the apartments are peaceful and tidy,"['environment', 'apartments', 'tidy']"
108,the reception and security here are responsible and friendly for any queries,"['reception', 'security', 'queries']"
109,very good commendation,['commendation']
110,i would highly recommend city point to those who are planing to study in coventry and warwick,"['i', 'city', 'point', 'coventry', 'warwick']"
111,the location of cp is perfect it takes about 3 mins to get to the coventry city centre where i can get anything i want,"['location', 'cp', 'mins', 'coventry', 'city', 'centre', 'i', 'anything']"
112,the reception and security of cp are really friendly and helpful！really good choice！,"['reception', 'security', 'cp', 'choice！']"
113,love staying in city point,"['love', 'city', 'point']"
114,living in city point has really lightened my student life in coventry,"['living', 'city', 'point', 'student', 'life', 'coventry']"
115,the ensuite room is comfortable the flat common area is large,"['room', 'area']"
116,we have 5 people in the flat and the common room suits our need for cooking and leisure,"['people', 'room', 'suits', 'need', 'leisure']"
117,besides the reception staffs are helpful and caring,"['reception', 'staffs']"
118,very recommend to students,['students']
119,brilliant building great facilities and the management team complete this place,"['building', 'facilities', 'management', 'team', 'place']"
120,vicky and andy are absolutely brilliant,"['vicky', 'andy']"
121,i was quite apprehensive about moving out at first but the team here made everything easy for me,"['i', 'team', 'everything', 'easy']"
122,gulson gardens is now home,"['gulson', 'gardens', 'home']"
123,i love it here,['i']
124,i was quite nervous moving back into student halls again after some bad experiences but my time here has been amazing so far,"['i', 'student', 'halls', 'experiences', 'time']"
125,everyone who works here is super welcoming and friendly,['everyone']
126,they really put in an effort to grt to know us all and in arranging social events,"['effort', 'events']"
127,everything is so well maintained extremely secure and we have some lovely social spaces here too which means that those of us who want to sleep will get some rest and anyone who wants to stay up late have a space to do that rather than disturbing flatmates,"['everything', 'spaces', 'rest', 'anyone', 'space', 'flatmates']"
128,would 100 recommend for anyone looking for a place to stay,"['recommend', 'anyone', 'place']"
129,cannot honestly recommend this place enough,"['cannot', 'place']"
130,this place has helped me in more ways than just providing accommodation the social spaces are like no other,"['place', 'ways', 'spaces']"
131,the sense of community and welcome you get here you won’t find anywhere else,"['sense', 'community']"
132,2 min walk to main campuses and the management team are so friendly and helpful,"['min', 'walk', 'campuses', 'management', 'team']"
133,and the rooms are so nice,['rooms']
134,the facilities are very clean and the rooms are spacious,"['facilities', 'rooms']"
135,this space allows for studying as well as relaxing,['space']
136,best accommodation i have been too,"['accommodation', 'i']"
137,during lockdown students were forced to pay full rent with no discount,"['students', 'rent', 'discount']"
138,most student accommodations in the uk did however axo would not allow it,"['accommodations', 'uk']"
139,that is the biggest complain,['complain']
140,most of the experience is quite good,['experience']
141,however there is no any opening windows in my room,"['opening', 'windows', 'room']"
142,so there are no any fresh air inside,['air']
143,this affects my mental health,['health']
144,good management and security on site,"['management', 'security', 'site']"
145,bikes are not covered in the insurance policy so be careful mine was stolen,"['bikes', 'insurance', 'policy', 'mine']"
146,poor wifi always under maintenance,"['wifi', 'maintenance']"
147,all round a good experience living here but would recommend living in a flat with friends to avoid uncomfortable living situations with random flat mates,"['experience', 'living', 'living', 'friends', 'living', 'situations', 'mates']"
148,would recommend for first year students definitely not for postgraduate students,"['year', 'students', 'postgraduate', 'students']"
149,the only good thing about the paradise village is descent location the rest is not even worth describing,"['thing', 'paradise', 'village', 'location', 'rest']"
150,location is super good，just between library and doctoral college,"['location', 'good，just', 'college']"
151,it was a nice experience,['experience']
152,excellent place to livestudy,['place']
153,the great location for my first year my room is nice and staff are always friendly when i come in,"['location', 'year', 'room', 'staff']"
154,great value for money and the property managers are very nice and helpful,"['value', 'money', 'property', 'managers']"
155,the staff are warmhearted and the room is very niceall my trouble have been solved,"['staff', 'room', 'trouble']"
156,cheap and cheerful,"['cheap', 'cheerful']"
157,the building has its flaws and it’s quite an old fashioned building,"['building', 'flaws', 'building']"
158,however it balances out with the cheaper price you pay compared to some of the overpriced student accommodations in coventry,"['price', 'student', 'accommodations', 'coventry']"
159,brilliant building great facilities and the management team complete this place,"['building', 'facilities', 'management', 'team', 'place']"
160,vicky and andy are absolutely brilliant,"['vicky', 'andy']"
161,i was quite apprehensive about moving out at first but the team here made everything easy for me,"['i', 'team', 'everything', 'easy']"
162,gulson gardens is now home,"['gulson', 'gardens', 'home']"
163,i love it here,['i']
164,i was quite nervous moving back into student halls again after some bad experiences but my time here has been amazing so far,"['i', 'student', 'halls', 'experiences', 'time']"
165,everyone who works here is super welcoming and friendly,['everyone']
166,they really put in an effort to grt to know us all and in arranging social events,"['effort', 'events']"
167,everything is so well maintained extremely secure and we have some lovely social spaces here too which means that those of us who want to sleep will get some rest and anyone who wants to stay up late have a space to do that rather than disturbing flatmates,"['everything', 'spaces', 'rest', 'anyone', 'space', 'flatmates']"
168,would 100 recommend for anyone looking for a place to stay,"['recommend', 'anyone', 'place']"
169,cannot honestly recommend this place enough,"['cannot', 'place']"
170,this place has helped me in more ways than just providing accommodation the social spaces are like no other,"['place', 'ways', 'spaces']"
171,the sense of community and welcome you get here you won’t find anywhere else,"['sense', 'community']"
172,2 min walk to main campuses and the management team are so friendly and helpful,"['min', 'walk', 'campuses', 'management', 'team']"
173,and the rooms are so nice,['rooms']
174,it is an absolutely great place with highest covid19 tailored standards,"['place', 'covid19', 'standards']"
175,the receptionist and house manager hedy is very friendly and is keen to always help residents out with any issues,"['receptionist', 'house', 'manager', 'hedy', 'residents', 'issues']"
176,a great gym facility on the ground floor and spacious study areas with large tv facilities for working on your uni presentation when a your room environment is too familiar and demotivating,"['facility', 'ground', 'floor', 'study', 'areas', 'tv', 'facilities', 'presentation', 'room', 'environment']"
177,the location is also 1 min away from coventry station which is 40 mins away from london euston’s station to enjoy london vibes every weekends,"['location', 'min', 'coventry', 'station', 'mins', 'station', 'vibes', 'weekends']"
178,great value for money 💰 and top service quality,"['value', 'money', '💰', 'service', 'quality']"
179,amazing accommodation i love the gym and room is very clear and bright especially the staffs are very friendly,"['accommodation', 'i', 'gym', 'room', 'staffs']"
180,its actually a nice location，near the rail station and bus stop,"['rail', 'station', 'bus', 'stop']"
181,the facilities are all great,['facilities']
182,the service from reception staffs are great,"['service', 'reception', 'staffs']"
183,they are all nice people and glad to help us,"['people', 'glad']"
184,good location that next to the coventry railway and bus station suitable for coventry or warwick uni student,"['location', 'coventry', 'railway', 'station', 'suitable', 'coventry', 'student']"
185,clean room and corridor,"['room', 'corridor']"
186,they have enough social facilities like gym room study room even study area in the lobby,"['facilities', 'gym', 'room', 'study', 'room', 'area', 'lobby']"
187,really recommand city point！it has a perfect location and you can get whatever you want from the coventry city centre,"['city', 'point！it', 'location', 'coventry', 'city', 'centre']"
188,the environment of the apartments are peaceful and tidy,"['environment', 'apartments', 'tidy']"
189,the reception and security here are responsible and friendly for any queries,"['reception', 'security', 'queries']"
190,very good commendation,['commendation']
191,i would highly recommend city point to those who are planing to study in coventry and warwick,"['i', 'city', 'point', 'coventry', 'warwick']"
192,the location of cp is perfect it takes about 3 mins to get to the coventry city centre where i can get anything i want,"['location', 'cp', 'mins', 'coventry', 'city', 'centre', 'i', 'anything']"
193,the reception and security of cp are really friendly and helpful！really good choice！,"['reception', 'security', 'cp', 'choice！']"
194,love staying in city point,"['love', 'city', 'point']"
195,living in city point has really lightened my student life in coventry,"['living', 'city', 'point', 'student', 'life', 'coventry']"
196,the ensuite room is comfortable the flat common area is large,"['room', 'area']"
197,we have 5 people in the flat and the common room suits our need for cooking and leisure,"['people', 'room', 'suits', 'need', 'leisure']"
198,besides the reception staffs are helpful and caring,"['reception', 'staffs']"
199,very recommend to students,['students']
200,i am living in classic studio with a window facing to south,"['i', 'studio', 'window', 'facing']"
201,the space and decroations of room are decent,"['space', 'decroations', 'room']"
202,there are some features that i quite like,['features']
203,1the living space is pretty quiet,['space']
204,there is no worry about noise in any time,"['worry', 'time']"
205,2the receptionist is quite kind,"['receptionist', 'kind']"
206,and they will quickly inform you if your amaz package is reached,['package']
207,3there are some small gifts or candies during festivals,"['gifts', 'candies', 'festivals']"
208,4there are two stores near the accomadation,"['stores', 'accomadation']"
209,and it takes about 10min walk to the shopping centre,"['walk', 'shopping', 'centre']"
210,basically if you enjoy a quiet life during your study that is definately one of best places you want to choose in coventry,"['life', 'study', 'places', 'coventry']"
211,i have a very nice experience staying in julian court,"['i', 'experience', 'court']"
212,all the rooms are studios,"['rooms', 'studios']"
213,the residence is in a quite area so no worry about notices outside,"['residence', 'area', 'worry', 'notices']"
214,also to go to university of warwick only takes about 20 minutes in total,"['university', 'warwick', 'minutes']"
215,the staff here are really friendly and helpful,['staff']
216,they can help you with anything from local life to living experience,"['anything', 'life', 'experience']"
217,i’ll definitely recommend it to those who wish to have a private space to stay,"['i’ll', 'space']"
218,as a selfcontained studio apartment julian court has all the functions i need to live securely and safely under covid19 pandemic,"['studio', 'apartment', 'court', 'functions', 'covid19', 'pandemic']"
219,and the reception service here is really warm and welcoming,"['reception', 'service']"
220,i like the young lady in reception she is always enthusiasm when i pick the package,"['i', 'lady', 'reception', 'i', 'package']"
221,comfortable convenient position good service,"['position', 'service']"
222,an enjoybale living experience,"['living', 'experience']"
223,it is suitable for various students,['students']
224,i love my room especially the two big windows from which i can see beautiful sceneries,"['i', 'room', 'windows', 'i', 'sceneries']"
225,the furniture inside the room is great and convenient to use,"['furniture', 'room', 'convenient']"
226,besides the administrator at the reception is very enthusiastic and kind,"['administrator', 'reception', 'kind']"
227,really enjoying living there,['living']
228,mercia lodge is conveniently located at the center with ease of access to all i need as a student it’s like a 5  7 minute walk from coventry university 1  5 minute walk from shopping malls fast food joints restaurants and more,"['mercia', 'lodge', 'center', 'ease', 'access', 'i', 'student', 'it’s', 'minute', 'walk', 'coventry', 'university', 'minute', 'walk', 'malls', 'food', 'joints', 'restaurants']"
229,the management team provide a great customer service they are nice easy to talk to and understanding,"['management', 'team', 'customer', 'service']"
230,in short it’s an outstanding and low key place,"['it’s', 'place']"
231,staying in mercia lodge was an overall enjoyable experience for me but it has its issues,"['mercia', 'lodge', 'experience', 'issues']"
232,its in a great location only a few minutes to get to the shops or uni and its right across the street from wetherspoons,"['location', 'minutes', 'shops', 'street', 'wetherspoons']"
233,its got a free on site gym and cinema room which always appeared to be well kept as well as a table tennis and pool table which isnt level in the social areas,"['site', 'gym', 'cinema', 'room', 'table', 'tennis', 'pool', 'table', 'level', 'areas']"
234,there is also an on site laundry room but it will cost about a 5er to do a load of washing and drying which you have to pay for using an app,"['site', 'room', 'load', 'app']"
235,the rooms do come with a kitchen small fridge ceramic hob small sink and a small microwave combi oven but they arent particularly useable and my sink was in a state of being perpetually clogged,"['rooms', 'kitchen', 'fridge', 'hob', 'sink', 'microwave', 'combi', 'sink', 'state']"
236,the issues really start to become apparent if or when something brakes or you need something from maintenance as it takes a while for any action to be taken,"['issues', 'something', 'brakes', 'something', 'maintenance', 'while', 'action']"
237,also worth noting that while i was there one of the lifts occasionally worked but was temperamental at best,"['i', 'lifts']"
238,mercia lodge located in a very good place,"['mercia', 'lodge', 'place']"
239,the surrounding public security is good shopping is convenient,"['security', 'shopping']"
240,the staff group is friendly and efficient,"['staff', 'group']"
241,the room configuration is also good costeffective,"['room', 'configuration', 'costeffective']"
242,amazing experience kept clean and very safe,['experience']
243,good social life and great location,"['life', 'location']"
244,location is excellent loads of essential stores nearby room is very spacious so is the gym and worth the price,"['location', 'loads', 'stores', 'room', 'gym', 'price']"
245,staff is very friendly and welcoming,['staff']
246,mercia lodge is a really good place to stay at while doing your degree,"['mercia', 'lodge', 'place', 'degree']"
247,the accommodation held a lot of social events which allows you to meet new people,"['accommodation', 'lot', 'events', 'people']"
248,the people living in this building are also very friendly if you try to get to know them,"['people', 'building']"
249,the location is perfect as it is located in the city centre,"['location', 'city', 'centre']"
250,the facilities are also great,['facilities']
251,you can gather with your friends and watch in the cinema room or socialise in the social place,"['friends', 'watch', 'cinema', 'room', 'socialise', 'place']"
252,the staff of mercia is also friendly and very helpful and the building is always clean,"['staff', 'mercia', 'building']"
253,everytime it gets a bit dirty the staff will clean it right away,"['everytime', 'bit', 'staff']"
254,the price is also very reasonable and worth it,['price']
255,definitely recommended for people to stay at,['people']
256,iq weaver place has been an amazing place to reside in while at uni,"['iq', 'weaver', 'place', 'place', 'while']"
257,moved here in september and spent most of lockdown within my flat space,"['lockdown', 'space']"
258,amazing on site staff who are always ready and enthusiastic to provide any type of assistance required,"['site', 'staff', 'type', 'assistance']"
259,would definitely recommend staying here for uni students looking to book accommodation,"['students', 'book', 'accommodation']"
260,i’ve never seen a property that clean and cosy,"['i’ve', 'property']"
261,thanks to dorota for helping me even when she doesn’t work,"['thanks', 'work']"
262,she’s always available,['she’s']
263,i loved ringway house as soon as i had my viewing the space the location and especially the management dorota and sarah who have been wonderful,"['i', 'house', 'i', 'space', 'location', 'management', 'dorota', 'sarah']"
264,ringway house is located in a really convenient location close to bus stops to get to uni and the city centre for all your shopping needs,"['ringway', 'house', 'location', 'stops', 'city', 'centre', 'shopping', 'needs']"
265,my studio is spacious and i have an amazing view of the city,"['studio', 'i', 'view', 'city']"
266,the property team is lovely and friendly as well,"['property', 'team']"
267,lovely management with lovely management would highly recommend it’s the little things that count and they’re always working around the clock,"['management', 'management', 'it’s', 'things', 'count', 'they’re', 'clock']"
268,nice rooms also very good value for money,"['rooms', 'value', 'money']"
269,great staff for the most part but very unpleasant stay,"['staff', 'part', 'stay']"
270,constant constant issues with water heating plumbing general falling apart of the room lighting only a couple of weeks after i moved in,"['issues', 'water', 'apart', 'room', 'couple', 'weeks', 'i']"
271,higher management didn’t seem to care about the issues i and plenty other residents hadstill have,"['management', 'didn’t', 'issues', 'i', 'plenty', 'residents', 'hadstill']"
272,staff didn’t tell me when a repair i had was due and entered my room while i was out which is very concerning and an invasion of privacy and didn’t say anything when i said as much  again didn’t seem to care,"['staff', 'didn’t', 'repair', 'i', 'room', 'i', 'invasion', 'privacy', 'didn’t', 'anything', 'i']"
273,some tenants very rude and disrespectful without cause  touching my clothes verbal abuse staff were aware and didn’t care overall awful stay i would highly recommend avoiding this place for your stay as i have said to every other uni student i know here out of genuine concern for them,"['tenants', 'cause', 'clothes', 'staff', 'care', 'stay', 'place', 'stay', 'i', 'student', 'i', 'concern']"
274,i love this place been a blast since i moved in september and it’s only gone better as my journey continues with ringway house,"['place', 'blast', 'i', 'september', 'it’s', 'journey', 'ringway', 'house']"
275,will definitely recommend this to any student without a shadow of a doubt and love to thank the management team dorota for making my stay so pleasantt,"['student', 'shadow', 'doubt', 'management', 'team', 'dorota', 'stay']"
276,location is super good，just between library and doctoral college,"['location', 'good，just', 'college']"
277,it was a nice experience,['experience']
278,excellent place to livestudy,['place']
279,the great location for my first year my room is nice and staff are always friendly when i come in,"['location', 'year', 'room', 'staff']"
280,great value for money and the property managers are very nice and helpful,"['value', 'money', 'property', 'managers']"
281,the staff are warmhearted and the room is very niceall my trouble have been solved,"['staff', 'room', 'trouble']"
282,cheap and cheerful,"['cheap', 'cheerful']"
283,the building has its flaws and it’s quite an old fashioned building,"['building', 'flaws', 'building']"
284,however it balances out with the cheaper price you pay compared to some of the overpriced student accommodations in coventry,"['price', 'student', 'accommodations', 'coventry']"
285,i have lived here for more than 4 years and my overall experience with study inn is absolutely amazing,"['i', 'years', 'experience', 'study', 'inn']"
286,it has the best arrangements management and staff and i love how considerate everyone is,"['arrangements', 'management', 'staff', 'i', 'everyone']"
287,gonna miss it badly once i am gone,['gonna']
288,very helpful and cooperative staff,['staff']
289,always ready to assist the residents and take measures to keep us safe,"['residents', 'measures']"
290,nice atmosphere,[]
291,staffs are very friendly and ready to help,['staffs']
292,need to improve the wifi,"['need', 'wifi']"
293,if you want to live in an accomondation in the heart of the city centre then this is your place,"['accomondation', 'heart', 'city', 'centre', 'place']"
294,the room is excellent with all the necessary tools to live so there is no need to buy anything,"['room', 'tools', 'need', 'anything']"
295,toilet is good but a bit small,['toilet']
296,heating during the winter is great and can keep u warm,"['winter', 'warm']"
297,the desk for you to study is large with enough space to put your books and computer,"['desk', 'space', 'books', 'computer']"
298,the staff is friendly kind especially the manager of the building and always ready to help even during the night,"['staff', 'kind', 'manager', 'building', 'night']"
299,the only thing that needs an update is the social spacesmore games spaces to play and engage with each other etc in the accomondation and more social events in order for all of us to get to know each other,"['thing', 'update', 'spacesmore', 'games', 'spaces', 'etc', 'accomondation', 'events', 'order']"
300,finally since the building is in the city centre you can confortably explore the citys day and night social life with a nice selection of cafes restaurants and bars all of them are very close from the accomondation on foot,"['building', 'city', 'centre', 'day', 'night', 'life', 'selection', 'cafes', 'restaurants', 'bars', 'accomondation', 'foot']"
301,fine for locationrooms are spacious but toilets are datedstaff are there all the time and everything is ready to stay so no need to buy anything,"['fine', 'locationrooms', 'toilets', 'time', 'everything', 'need', 'anything']"
302,the facilities are very clean and the rooms are spacious,"['facilities', 'rooms']"
303,this space allows for studying as well as relaxing,['space']
304,best accommodation i have been too,"['accommodation', 'i']"
305,during lockdown students were forced to pay full rent with no discount,"['students', 'rent', 'discount']"
306,most student accommodations in the uk did however axo would not allow it,"['accommodations', 'uk']"
307,that is the biggest complain,['complain']
308,most of the experience is quite good,['experience']
309,however there is no any opening windows in my room,"['opening', 'windows', 'room']"
310,so there are no any fresh air inside,['air']
311,this affects my mental health,['health']
312,good management and security on site,"['management', 'security', 'site']"
313,bikes are not covered in the insurance policy so be careful mine was stolen,"['bikes', 'insurance', 'policy', 'mine']"
314,poor wifi always under maintenance,"['wifi', 'maintenance']"
315,all round a good experience living here but would recommend living in a flat with friends to avoid uncomfortable living situations with random flat mates,"['experience', 'living', 'living', 'friends', 'living', 'situations', 'mates']"
316,would recommend for first year students definitely not for postgraduate students,"['year', 'students', 'postgraduate', 'students']"
